Channel_Name,Channel_Id,Description,Independent,Archetypes
Movieclips,UC3gNmTGu-TTbFPpfSs5kNkg,"Movieclips is a corporate YouTube channel that curates and shares movie clips, trailers, and memorable scenes from various films. Movieclips provides a platform for movie enthusiasts to revisit iconic moments and discover new cinematic gems.",No,Corporate / Non-Youtuber
Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,"Dude Perfect is an independent YouTube channel featuring a group of friends known for their incredible trick shots, sports challenges, and entertaining stunts. With a blend of athleticism and humor, Dude Perfect has become one of the most popular channels for sports enthusiasts and entertainment seekers.",Yes,Variety / General Entertainment
Aaj Tak,UCt4t-jeY85JegMlZ-E5UWtA,"Aaj Tak is a corporate YouTube channel representing one of India's leading Hindi news channels. With a focus on timely and credible news reporting, Aaj Tak keeps its audience informed about the latest happenings in India and around the world.",No,Corporate / Non-Youtuber
Wave Music,UCOMLtULLvoymORim06O1vaw,"Wave Music is a corporate YouTube channel serving as a music label specializing in Bhojpuri music. With a diverse collection of songs, music videos, and albums, Wave Music caters to music enthusiasts seeking entertainment from the vibrant Bhojpuri music industry.",No,Corporate / Non-Youtuber
Sony Music India,UC56gTxNs4f9xZ7Pa2i5xNzg,"Sony Music India is a corporate YouTube channel that functions as a music label, featuring a wide array of Indian and international music. With a rich and diverse catalog, the channel brings music enthusiasts a variety of genres, artists, and visually stunning music videos.",No,Corporate / Non-Youtuber
EminemMusic,UC20vb-R_px4CguHzzBPhoyQ,"EminemMusic is a corporate YouTube channel representing Eminem, the acclaimed rapper and songwriter. The channel features Eminem's music videos, interviews, and behind-the-scenes footage, providing fans with an immersive experience into the world of the iconic artist.",No,Corporate / Non-Youtuber
YRF,UCbTLwN10NoCU4WDzLf1JMOA,"YRF is a corporate YouTube channel representing Yash Raj Films, one of the leading film production companies in India. The channel showcases trailers, songs, and exclusive content from YRF's extensive film catalog, known for its Bollywood blockbusters.",No,Corporate / Non-Youtuber
Infobells - Hindi,UCHvoq_rGmOKJKGId1nD1V4Q,"Infobells - Hindi is a corporate YouTube channel dedicated to creating engaging and educational content for children. Through animated stories, nursery rhymes, and educational videos, Infobells - Hindi aims to make learning fun and interactive for young viewers.",No,Corporate / Non-Youtuber
Marshmello,UCEdvpU2pFRCVqU6yIPyTpMQ,"Marshmello's official YouTube channel is a corporate account featuring the music and content of the electronic music producer and DJ. With chart-topping hits, music videos, and behind-the-scenes footage, Marshmello's channel offers a visual and auditory experience for fans of electronic dance music.",No,Corporate / Non-Youtuber
LooLoo Kids - Nursery Rhymes and Children's Songs,UC4NALVCmcmL5ntpV0thoH6w,"LooLoo Kids is a corporate YouTube channel that produces entertaining and educational nursery rhymes and songs for children. With colorful animations and catchy tunes, LooLoo Kids creates a playful and engaging environment for young viewers.",No,Corporate / Non-Youtuber
Taylor Swift,UCANLZYMidaCbLQFWXBC95Jg,"Taylor Swift's official YouTube channel is a corporate account featuring her music videos, live performances, and exclusive content. With a global fanbase, Taylor Swift's channel is a destination for fans to immerse themselves in her artistic journey.",No,Corporate / Non-Youtuber
BillionSurpriseToys - Nursery Rhymes & Cartoons,UCRx3mKNUdl8QE06nEug7p6Q,"BillionSurpriseToys specializes in creating animated nursery rhymes and cartoons for young children. The channel's content is designed to entertain and educate toddlers, fostering a playful and engaging learning experience.",No,Corporate / Non-Youtuber
Ed Sheeran,UC0C-w0YjGpqDXGB8IHb662A,"Ed Sheeran's official YouTube channel features his music videos, live performances, and behind-the-scenes glimpses into his creative process. As one of the most successful singer-songwriters, Ed Sheeran's channel provides fans with an intimate connection to his musical journey.",No,Corporate / Non-Youtuber
Ariana Grande,UC0VOyT2OCBKdQhF3BAbZ-1g,"Ariana Grande's official YouTube channel showcases her music videos, live performances, and exclusive content. With a powerful voice and captivating visuals, Ariana Grande's channel offers fans an immersive experience into the world of the pop sensation.",No,Corporate / Non-Youtuber
Shemaroo,UCBOmfqgTZi7yDp4-3Lr_3lA,"Shemaroo is a corporate YouTube channel that features a vast collection of Bollywood movies, classic films, and entertainment content. With a diverse range of offerings, Shemaroo caters to audiences seeking a nostalgic trip or the latest in Indian cinema.",No,Corporate / Non-Youtuber
JuegaGerman,UCYiGq8XF7YQD00x7wAd62Zg,"JuegaGerman is an independent YouTube channel hosted by Germán Garmendia, a popular Spanish-language YouTuber. Known for his humor and energetic gaming commentary, JuegaGerman entertains a vast audience of gaming enthusiasts.",Yes,Variety / General Entertainment
Billie Eilish,UCDGmojLIoWpXok597xYo8cg,"Billie Eilish's official YouTube channel features her music videos, interviews, and behind-the-scenes content. With a unique style and captivating music, Billie Eilish's channel provides fans with a front-row seat to her artistic expression.",No,Corporate / Non-Youtuber
ARY Digital HD,UCMmpLL2ucRHAXbNHiCPyIyg,"ARY Digital HD is a corporate YouTube channel representing ARY Digital, a Pakistani television network. The channel features dramas, talk shows, and entertainment programs, catering to a diverse audience in Pakistan and beyond.",No,Corporate / Non-Youtuber
SonyMusicIndiaVEVO,UC3MLnJtqc_phABBriLRhtgQ,"SonyMusicIndiaVEVO is a corporate YouTube channel that serves as the Vevo account for Sony Music India. Featuring high-quality music videos from various genres, the channel provides a visually stunning and immersive experience for music enthusiasts.",No,Corporate / Non-Youtuber
HAR PAL GEO,UCe9JSDmyqNgA_l2BzGHq1Ug,"HAR PAL GEO is a corporate YouTube channel representing GEO Entertainment, a Pakistani television network. The channel offers a variety of dramas, shows, and entertainment content, attracting viewers with diverse interests.",No,Corporate / Non-Youtuber
Bad Bunny,UCJrREGJ2R1mMuKJkZ8SMCcA,"Bad Bunny's official YouTube channel features his reggaeton and Latin trap music, including music videos, live performances, and exclusive content. With a unique sound and style, Bad Bunny has become a global sensation in the Latin music scene.",No,Corporate / Non-Youtuber
Badabun,UCYWOjHweP2V-8kGKmmAmQJQ,"Badabun is a corporate YouTube channel known for its diverse content, including entertainment, challenges, and social experiments. With a mix of humor and thought-provoking content, Badabun engages a broad audience.",No,Corporate / Non-Youtuber
Toys and Colors,UCgFXm4TI8htWmCyJ6cVPG_A,"Toys and Colors is a corporate YouTube channel that creates colorful and imaginative videos for children. With toy unboxings, playtime scenarios, and educational content, Toys and Colors provides a joyful and creative space for young viewers.",No,Corporate / Non-Youtuber
Fernanfloo,UCV4xOVpbcV8SdueDCOxLXtQ,"Fernanfloo is an independent YouTube channel hosted by Luis Fernando Flores. Known for his energetic and humorous gaming commentary, Fernanfloo entertains a vast audience of gaming enthusiasts with a focus on fun and laughter.",Yes,Gaming
Voot Kids,UCJg19noZp7-BYIGvypu_cow,"Voot Kids is a corporate YouTube channel offering a variety of animated content and educational videos for children. With a focus on fun and learning, Voot Kids provides a safe and entertaining space for young viewers.",No,Corporate / Non-Youtuber
Felipe Neto,UCV306eHqgo0LvBf3Mh36AHg,"Felipe Neto is an independent Brazilian YouTuber known for his humorous commentary, vlogs, and social commentary. With a large following, Felipe Neto's channel covers a range of topics, making him a prominent figure in the online content creation space.",Yes,Variety / General Entertainment
ABS-CBN Entertainment,UCstEtN0pgOmCf02EdXsGChw,"ABS-CBN Entertainment is a corporate YouTube channel representing ABS-CBN, one of the largest media and entertainment conglomerates in the Philippines. The channel features a diverse range of content, including dramas, reality shows, and entertainment programs.",No,Corporate / Non-Youtuber
Mikecrack,UCqJ5zFEED1hWs0KNQCQuYdQ,"Mikecrack is an independent Spanish YouTuber specializing in gaming content, particularly Minecraft. Known for his entertaining gameplay commentary and collaborations with other creators, Mikecrack has gained popularity in the gaming community.",Yes,Variety / General Entertainment
Shakira,UCGnjeahCJW1AF34HBmQTJ-Q,"Shakira's official YouTube channel is a corporate account featuring her music videos, performances, and exclusive content. With a global fanbase, Shakira's channel showcases her iconic music and dynamic performances.",No,Corporate / Non-Youtuber
Você Sabia?,UCj0O6W8yDuLg3iraAXKgCrQ,"Você Sabia? is an independent Brazilian YouTube channel known for its informative and intriguing content. Covering a variety of topics, the channel presents facts and interesting information in an engaging and entertaining manner.",Yes,Education / Science
Katy Perry,UC-8Q-hLdECwQmaWNwXitYDw,"Katy Perry's official YouTube channel is a corporate account featuring her music videos, behind-the-scenes footage, and exclusive content. As a global pop icon, Katy Perry's channel provides fans with a front-row seat to her musical journey.",No,Corporate / Non-Youtuber
Alan Walker,UCJrOtniJ0-NWz37R30urifQ,"Alan Walker's official YouTube channel is a corporate account representing the acclaimed Norwegian DJ and music producer. The channel features Alan Walker's music videos, tracks, and collaborations, catering to fans of electronic dance music.",No,Corporate / Non-Youtuber
BRIGHT SIDE,UCjB3CzA-MwHrDzuXGweNiMg,"BRIGHT SIDE is a corporate YouTube channel known for its informative and educational content. Covering a wide range of topics, the channel presents facts, life hacks, and interesting tidbits in an engaging and visually appealing format.",No,Corporate / Non-Youtuber
whinderssonnunes,UC3KQ5GWANYF8lChqjZpXsQw,"Whindersson Nunes is an independent Brazilian YouTuber known for his comedy sketches, vlogs, and music parodies. With a humorous and relatable style, Whinderssonnunes entertains a broad audience with his creative content.",Yes,Comedy / Humor 
HolaSoyGerman.,UCZJ7m7EnCNodqnu5SAtg8eQ,"HolaSoyGerman is the YouTube channel of Germán Garmendia, a Chilean YouTuber known for his comedic sketches, vlogs, and humorous commentary. With a large following, HolaSoyGerman. has become one of the most popular channels in the Spanish-speaking YouTube community.",No,Corporate / Non-Youtuber
Speed Records,UCOsyDsO5tIt-VZ1iwjdQmew,"Speed Records is a corporate YouTube channel serving as a music label specializing in Punjabi music. The channel features a diverse collection of Punjabi songs, music videos, and collaborations, catering to music enthusiasts.",No,Corporate / Non-Youtuber
Ishtar Music,UCWi_65E_L8tQZ34C6wVAlpQ,"Ishtar Music is a corporate YouTube channel specializing in Arabic music. Featuring a variety of music videos, songs, and collaborations, Ishtar Music offers a platform for fans of Arabic music to explore diverse genres.",No,Corporate / Non-Youtuber
Kimberly Loaiza,UCgmUtgxaeaT6CSHc70AQMEg,"Kimberly Loaiza is an independent Mexican YouTuber and singer known for her vlogs, music videos, and lifestyle content. With a significant following, Kimberly Loaiza's channel provides a glimpse into her life and creative endeavors.",Yes,Variety / General Entertainment
Like Nastya Show,UCJplp5SjeGSdVdwsfb9Q7lQ,"Like Nastya Show is a corporate YouTube channel that produces entertaining and educational content for children. With a focus on imaginative play, toy unboxings, and educational scenarios, Like Nastya Show engages young viewers in a playful learning experience.",No,Corporate / Non-Youtuber
Rihanna,UCaHNFIob5Ixv74f5on3lvIw,"Rihanna's official YouTube channel is a corporate account featuring her music videos, performances, and exclusive content. As a global music and fashion icon, Rihanna's channel showcases her artistic evolution and impact on the music industry.",No,Corporate / Non-Youtuber
Jess No Limit,UCvh1at6xpV1ytYOAzxmqUsA,"Jess No Limit is an independent Indonesian gaming YouTuber known for his mobile gaming content, particularly in the battle royale genre. With a skilled and entertaining approach to gameplay, Jess No Limit has gained popularity among gaming enthusiasts.",Yes,Gaming
Luisito Comunica,UCECJDeK0MNapZbpaOzxrUPA,"Luisito Comunica is an independent Mexican YouTuber known for his travel vlogs, adventure videos, and cultural explorations. With a charismatic and engaging style, Luisito Comunica takes viewers on virtual journeys around the world.",Yes,Vlogs / Lifestyle
shfa2 - شفا,UCQ7x25F6YXY9DvGeHFxLhRQ,"Shfa2 - شفا is an independent Arabic-language YouTube channel featuring a variety of content, including lifestyle vlogs, challenges, and entertainment. With a diverse range of videos, Shfa2 - شفا engages viewers in an entertaining and relatable manner.",Yes,Kids / Family
Little Baby Bum - Nursery Rhymes & Kids Songs,UCKAqou7V9FAWXpZd9xtOg3Q,"Little Baby Bum is a corporate YouTube channel specializing in animated nursery rhymes and children's songs. With colorful animations and catchy tunes, the channel creates an engaging and educational space for young children.",No,Corporate / Non-Youtuber
LUCCAS NETO - LUCCAS TOON,UC_gV70G_Y51LTa3qhu8KiEA,"LUCCAS NETO - LUCCAS TOON is a corporate YouTube channel featuring the content of Luccas Neto, a Brazilian YouTuber known for his family-friendly videos, challenges, and animated content. The channel caters to a young audience with entertaining and imaginative videos.",No,Corporate / Non-Youtuber
CarryMinati,UCj22tfcQrWG7EMEKS0qLeEg,"CarryMinati is an independent Indian YouTuber known for his roast videos, comedic sketches, and commentary on various topics. With a bold and humorous style, CarryMinati has garnered a significant following in the Indian YouTube community.",Yes,Variety / General Entertainment
Super Simple Songs - Kids Songs,UCLsooMJoIpl_7ux2jvdPB-Q,"Super Simple Songs is a corporate YouTube channel that produces animated and live-action kids' songs and educational content. With a focus on simplicity and engaging visuals, Super Simple Songs",No,Corporate / Non-Youtuber
elrubiusOMG,UCXazgXDIYyWH-yXLAkcrFxw,"El Rubius is an independent Spanish YouTuber and content creator known for his gaming videos, vlogs, and humorous content. With a dynamic and entertaining style, elrubiusOMG has amassed a large following and is a prominent figure in the online gaming community.",Yes,Variety / General Entertainment
Sony PAL,UCw7xjxzbMwgBSmbeYwqYRMg,"Sony PAL is a corporate YouTube channel representing Sony Entertainment Television's PAL channel, featuring a variety of Hindi television shows, dramas, and entertainment content. The channel caters to a diverse audience with its range of programming.",No,Corporate / Non-Youtuber
BETER BÖCÜK,UC6gVx_vALsYT-z_u1djJbBQ,"BETER BÖCÜK is an independent Turkish YouTube channel featuring gaming content, challenges, and comedic sketches. With a focus on humor and entertainment, BETER BÖCÜK engages viewers with a variety of content.",Yes,Kids / Family
MrBeast Gaming,UCX6OQ3DkcsbYNE6H8uQQuVA,"MrBeast Gaming is an independent YouTube channel affiliated with MrBeast, known for gaming-related content, challenges, and collaborations with other gamers. With a fun and engaging approach, MrBeast Gaming has gained popularity among gaming enthusiasts.",Yes,Gaming
Ricis Official,UC4tS4Q_Cno5JVcIUXxQOOpA,"Ricis Official is an independent Indonesian YouTube channel featuring lifestyle vlogs, challenges, and entertainment content hosted by Indonesian social media personality Rica Leyona. The channel offers a mix of relatable and engaging videos.",Yes,Vlogs / Lifestyle
WorkpointOfficial,UC3ZkCd7XtUREnjjt3cyY_gg,"WorkpointOfficial is a corporate YouTube channel representing Workpoint Entertainment, a Thai media and entertainment company. The channel features a variety of Thai television shows, dramas, and entertainment programs, catering to a diverse audience.",No,Corporate / Non-Youtuber
Goldmines Gaane Sune Ansune,UCtW7qWjpCZ8zps-Cf2NF26w,"Goldmines Gaane Sune Ansune is a corporate YouTube channel that features a vast collection of Indian film songs, classics, and music videos. With a rich musical repertoire, the channel caters to fans of Bollywood music.",No,Corporate / Non-Youtuber
XXXTENTACION,UCM9r1xn6s30OnlJWb-jc3Sw,"XXXTENTACION's official YouTube channel is a corporate account featuring the music and content of the late American rapper and singer. The channel showcases XXXTENTACION's music videos, performances, and artistic contributions.",No,Corporate / Non-Youtuber
TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,"TEDx Talks is a corporate YouTube channel that features independently organized TEDx events worldwide. The channel shares insightful and thought-provoking talks on a wide range of topics, fostering the spread of ideas and knowledge.",No,Education / Science
GR6 EXPLODE,UCNUQK9mQoqi4yNXw2_Rj6SA,"GR6 EXPLODE is a corporate YouTube channel representing GR6, a Brazilian music production company specializing in funk music. The channel features funk music videos, performances, and collaborations with popular Brazilian artists.",No,Corporate / Non-Youtuber
shfa,UCNvYCW3cMbkWy2g2v4Wb6xw,"Shfa is an independent Arabic YouTube channel featuring lifestyle vlogs, challenges, and entertaining content. With a focus on relatable and engaging videos, Shfa caters to an Arabic-speaking audience.",Yes,Kids / Family
ABP NEWS,UCt4t-jeY85JegMlZ-E5UWtA,"ABP NEWS is a corporate YouTube channel representing ABP News, one of India's leading Hindi news channels. The channel provides timely and credible news coverage, keeping viewers informed about current events.",No,Corporate / Non-Youtuber
ช่อง one31,UC8f7MkX4MFOOJ2SerXLInCA,"ช่อง one31 is a corporate YouTube channel representing One 31, a Thai television network. The channel features a variety of Thai dramas, shows, and entertainment content, catering to a diverse audience.",No,Corporate / Non-Youtuber
One Direction,UCoUM-UJ7rirJYP8CQ0EIaHA,"One Direction's official YouTube channel is a corporate account representing the iconic British-Irish boy band. The channel features their music videos, live performances, and behind-the-scenes footage, providing fans with a nostalgic journey through the band's career.",No,Corporate / Non-Youtuber
YouTube,UCgFXm4TI8htWmCyJ6cVPG_A,"YouTube's official channel is a corporate account that serves as the platform's official presence on its own site. The channel shares updates, features, and highlights various content creators, showcasing the diversity of content available on the platform.",No,Corporate / Non-Youtuber
Maria Clara & JP,UCqE4zgbCjR5_AMW4Og6z5IQ,"Maria Clara & JP is an independent Brazilian YouTube channel featuring lifestyle vlogs, challenges, and family-oriented content. The channel offers a glimpse into the daily lives and adventures of the creators.",Yes,Kids / Family
Daddy Yankee,UCLp8RBhQHu9wSsq62j_Md6A,"Daddy Yankee's official YouTube channel is a corporate account representing the reggaeton and Latin music icon. The channel features Daddy Yankee's music videos, performances, and exclusive content, showcasing his influence in the Latin music scene.",No,Corporate / Non-Youtuber
YOLO AVENTURAS,UCOnIJiQuk1fDSp6p1GCZy3A,"YOLO AVENTURAS is an independent Spanish YouTube channel featuring adventure, travel, and lifestyle content. With a focus on exploration and outdoor activities, the channel provides viewers with exciting and immersive experiences.",Yes,Variety / General Entertainment
TheEllenShow,UCp0hYYBW6IMayGgR-WeoCvQ,"TheEllenShow's official YouTube channel is a corporate account representing ""The Ellen DeGeneres Show,"" featuring highlights, interviews, and entertaining segments from the popular American talk show.",No,Corporate / Non-Youtuber
Saregama Music,UC_A7K2dXFsTMAciGmnNxy-Q,"Saregama Music is a corporate YouTube channel representing Saregama India, a music label known for its extensive collection of Indian music. The channel features a wide range of songs, music videos, and playlists, catering to diverse musical tastes.",No,Corporate / Non-Youtuber
PowerKids TV,UCj-SWZSE0AmotGSQ3apROHw,"PowerKids TV is a corporate YouTube channel that produces animated and educational content for children. With a focus on entertaining and informative videos, the channel creates a positive learning environment for young viewers.",No,Corporate / Non-Youtuber
Ultra Bollywood,UCYauDsl-rswjQGpA0_-Z9Pw,"Ultra Bollywood is a corporate YouTube channel representing Ultra Media & Entertainment, featuring a variety of Bollywood movies, music videos, and entertainment content. The channel caters to fans of Hindi cinema and music.",No,Corporate / Non-Youtuber
T-Series Bollywood Classics,UCRm96I5kmb_iGFofE5N691w,"T-Series Bollywood Classics is a corporate YouTube channel representing T-Series, featuring classic Bollywood songs and music videos. The channel offers a nostalgic journey through the golden era of Hindi film music.",No,Corporate / Non-Youtuber
Jkk Entertainment,UCP84QWij0alw4MvzqzyfOnw,"Jkk Entertainment is a corporate YouTube channel representing Jkk Films, a Pakistani film production company. The channel features trailers, music videos, and promotional content related to Jkk Entertainment's film projects.",No,Corporate / Non-Youtuber
La Granja de Zenón,UCK1i2UviaXLUNrZlAFpw_jA,"La Granja de Zenón is a corporate YouTube channel featuring animated content and songs for children. The channel is associated with the popular children's brand from Argentina, providing engaging and entertaining content for young viewers.",No,Corporate / Non-Youtuber
Bruno Mars,UCmfFGTSsfJVu6CGvL8r75qg,"Bruno Mars's official YouTube channel is a corporate account representing the Grammy-winning artist. The channel features Bruno Mars's music videos, live performances, and exclusive content, showcasing his versatility and musical talent.",No,Corporate / Non-Youtuber
IndiaTV,UCttspZesZIDEwwpVIgoZtWQ,"IndiaTV is a corporate YouTube channel representing India's leading Hindi news channel. The channel provides comprehensive news coverage, debates, and current affairs, keeping viewers informed about the latest happenings in India and around the world.",No,Corporate / Non-Youtuber
TheDonato,UCaHEdZtk6k7SVP-umnzifmQ,"TheDonato is an independent Spanish-language YouTube channel featuring gaming content, challenges, and vlogs. With a focus on entertainment and gaming experiences, TheDonato engages viewers with a variety of engaging and dynamic videos.",Yes,Gaming
Maroon 5,UCN1hnUccO4FD5WfM7ithXaw,"Maroon 5's official YouTube channel is a corporate account representing the Grammy-winning pop band. The channel features Maroon 5's music videos, live performances, and exclusive behind-the-scenes content, offering fans a closer look at the band's musical journey.",No,Corporate / Non-Youtuber
Techno Gamerz,UCUA81A-VZAZXYALpOScwFOQ,"Techno Gamerz is an independent Indian gaming YouTube channel hosted by Ujjwal Chaurasia. Known for his entertaining gameplay commentary and gaming-related content, Techno Gamerz has gained popularity in the Indian gaming community.",Yes,Gaming
Total Gaming,UC5c9VlYTSvBSCaoMu_GI6gQ,"Total Gaming is an independent Indian gaming YouTube channel hosted by Ajay (A_S Gaming). Specializing in Free Fire gameplay, tips, and strategies, Total Gaming provides content that resonates with the gaming community in India.",Yes,Gaming
Genevieve's Playhouse - Learning Videos for Kids,UCK5Q72Uyo73uRPk8PmM2A3w,"Genevieve's Playhouse is a corporate YouTube channel producing educational and entertaining content for young children. With a focus on learning through animated stories, nursery rhymes, and educational videos, the channel creates a positive and engaging space for early childhood development.",No,Corporate / Non-Youtuber
Ozuna,UCu59H8LNti6mwvcGRMge5PA,"Ozuna's official YouTube channel is a corporate account representing the Puerto Rican reggaeton and Latin trap artist. The channel features Ozuna's music videos, performances, and exclusive content, showcasing his influence in the Latin music scene.",No,Corporate / Non-Youtuber
